,source,target
0,France,Germany
1,Germany,Russia
2,France,Germany
3,Germany,Russia
4,Germany,Russia
5,Germany,Russia
6,France,Germany
7,Germany,Russia
8,Germany,Russia
9,Germany,Russia
10,Germany,Russia
11,France,Germany
12,Germany,Russia
13,Germany,Russia
14,Germany,Russia
15,Germany,Russia
16,United States of America,Germany
17,France,Germany
18,Germany,Russia
19,Germany,Russia
20,Germany,Russia
21,Germany,Russia
22,United States of America,Germany
23,United States of America,Germany
24,United Kingdom,Germany
25,France,Germany
26,Germany,Russia
27,Germany,Russia
28,Germany,Russia
29,Germany,Russia
30,United States of America,Germany
31,United States of America,Germany
32,United Kingdom,Germany
33,Germany,Russia
34,Germany,Russia
35,United States of America,Germany
36,United States of America,Germany
37,United Kingdom,Germany
38,United States of America,Germany
39,United States of America,Germany
40,United Kingdom,Germany
41,United States of America,Germany
42,United States of America,Germany
43,United Kingdom,Germany
44,United Kingdom,Germany
45,United Kingdom,Germany
46,United Kingdom,Germany
47,Germany,Germany
48,Germany,Germany
49,Germany,Germany
50,Germany,Germany
51,Germany,Germany
52,Germany,Germany
53,Germany,Germany
54,Germany,Italy
55,Germany,Germany
56,Germany,Italy
57,Germany,Italy
58,Germany,Germany
59,Germany,Germany
60,Germany,Italy
61,Germany,Italy
62,Germany,Germany
63,Germany,Germany
64,Germany,Germany
65,Germany,Germany
66,Germany,Germany
67,Germany,Italy
68,Germany,Italy
69,Germany,Germany
70,Germany,Germany
71,Germany,Germany
72,Germany,Germany
73,Germany,Germany
74,Germany,Italy
75,Germany,Italy
76,Germany,Germany
77,Germany,Germany
78,Germany,Germany
79,Germany,Germany
80,Germany,Germany
81,Austria,Germany
82,Austria,Germany
83,Germany,Italy
84,Germany,Italy
85,Germany,Germany
86,Germany,Germany
87,Germany,Germany
88,Germany,Germany
89,Germany,Germany
90,Austria,Germany
91,Austria,Germany
92,Germany,Germany
93,Germany,Germany
94,Germany,Germany
95,Germany,Germany
96,Germany,Germany
97,Germany,Germany
98,Austria,Germany
99,Austria,Germany
100,Germany,Germany
101,United Kingdom,Germany
102,Germany,Germany
103,Germany,Germany
104,Germany,Germany
105,Austria,Germany
106,Austria,Germany
107,Germany,Germany
108,United Kingdom,Germany
109,Austria,Germany
110,Austria,Germany
111,Germany,Germany
112,United Kingdom,Germany
113,Austria,Germany
114,Germany,Germany
115,United Kingdom,Germany
116,United Kingdom,Spain
117,United Kingdom,Germany
118,United Kingdom,Spain
119,United Kingdom,Spain
120,United Kingdom,Spain
121,United Kingdom,France
122,France,Poland
123,United Kingdom,France
124,France,Poland
125,United Kingdom,France
126,France,Poland
127,United Kingdom,Poland
128,United Kingdom,France
129,France,Germany
130,Germany,Poland
131,Poland,Russia
132,United Kingdom,France
133,France,Poland
134,United Kingdom,Poland
135,United Kingdom,France
136,France,Germany
137,Germany,Poland
138,Poland,Russia
139,Germany,Russia
140,United Kingdom,France
141,France,Poland
142,United Kingdom,Poland
143,United Kingdom,France
144,France,Germany
145,Germany,Poland
146,Poland,Russia
147,Germany,Russia
148,Germany,Germany
149,United Kingdom,France
150,France,Poland
151,United Kingdom,Poland
152,United Kingdom,France
153,France,Germany
154,Germany,Poland
155,Poland,Russia
156,Germany,Russia
157,Germany,Germany
158,United Kingdom,Poland
159,United Kingdom,France
160,France,Germany
161,Germany,Poland
162,Poland,Russia
163,Germany,Russia
164,Germany,Germany
165,Germany,Poland
166,Poland,Russia
167,Germany,Russia
168,United Kingdom,France
169,France,Germany
170,Germany,Poland
171,Poland,Russia
172,Germany,Russia
173,Germany,Germany
174,Germany,Poland
175,Poland,Russia
176,Germany,Russia
177,Estonia,Germany
178,Estonia,Latvia
179,Latvia,Lithuania
180,Lithuania,Russia
181,Germany,Germany
182,Germany,Poland
183,Poland,Russia
184,Germany,Russia
185,Estonia,Germany
186,Estonia,Latvia
187,Latvia,Lithuania
188,Lithuania,Russia
189,Finland,Russia
190,Finland,Russia
191,Germany,Poland
192,Poland,Russia
193,Germany,Russia
194,Estonia,Germany
195,Estonia,Latvia
196,Latvia,Lithuania
197,Lithuania,Russia
198,Finland,Russia
199,Finland,Russia
200,Germany,Russia
201,Germany,Poland
202,Poland,Russia
203,Germany,Russia
204,Estonia,Germany
205,Estonia,Latvia
206,Latvia,Lithuania
207,Lithuania,Russia
208,Finland,Russia
209,Finland,Russia
210,Germany,Russia
211,Germany,Poland
212,Denmark,Poland
213,Denmark,Norway
214,Poland,Russia
215,Germany,Russia
216,Estonia,Germany
217,Estonia,Latvia
218,Latvia,Lithuania
219,Lithuania,Russia
220,Finland,Russia
221,Finland,Russia
222,Germany,Russia
223,Germany,Poland
224,Denmark,Poland
225,Denmark,Norway
226,Estonia,Latvia
227,Latvia,Lithuania
228,Lithuania,Russia
229,Finland,Russia
230,Finland,Russia
231,Germany,Russia
232,Germany,Poland
233,Denmark,Poland
234,Denmark,Norway
235,Denmark,Norway
236,Denmark,Sweden
237,Germany,Sweden
238,Finland,Russia
239,Germany,Russia
240,Germany,Poland
241,Denmark,Poland
242,Denmark,Norway
